iter	Logloss
0	0.6646851403
1	0.6397269362
2	0.6176609558
3	0.5980795724
4	0.5810062228
5	0.5661848565
6	0.5531181167
7	0.5411607383
8	0.5306366659
9	0.5211758709
10	0.5129216542
11	0.5052425362
12	0.4985000407
13	0.4927896861
14	0.4873670237
15	0.4828479621
16	0.4785753173
17	0.474750122
18	0.4711847186
19	0.4682806346
20	0.4654816726
21	0.4630516315
22	0.4607455497
23	0.4587331388
24	0.4567610553
25	0.4550527009
26	0.4534925361
27	0.4522006816
28	0.4509145269
29	0.4497484754
30	0.4486546338
31	0.4477725153
32	0.446944682
33	0.4461256112
34	0.4454330285
35	0.4446962277
36	0.4440477804
37	0.4434192046
38	0.4428799186
39	0.4423521385
40	0.4419325942
41	0.4414793969
42	0.4410973819
43	0.4407050852
44	0.4403178313
45	0.4400122419
46	0.4397300756
47	0.4393873239
48	0.4391261742
49	0.4388639307
50	0.4385870839
51	0.4383698146
52	0.4381748083
53	0.4379576025
54	0.4377632097
55	0.4375865167
56	0.4374301203
57	0.4372488308
58	0.4370571684
59	0.4368980116
60	0.4367469826
61	0.4365919885
62	0.4364449847
63	0.4362982072
64	0.4361824432
65	0.4360602792
66	0.4359442739
67	0.4358238199
68	0.4357125574
69	0.4356017635
70	0.4354988261
71	0.4354063771
72	0.4352920349
73	0.4351949363
74	0.4351144918
75	0.4350073153
76	0.4349099304
77	0.4348371152
78	0.434749705
79	0.4346649515
80	0.4346011184
81	0.4345230375
82	0.4344492231
83	0.4343799482
84	0.4342945246
85	0.4342380343
86	0.4341799771
87	0.4341096568
88	0.4340591907
89	0.4339912255
90	0.4339078819
91	0.4338403803
92	0.4337691459
93	0.4337004356
94	0.4336422709
95	0.4335700735
96	0.4335243639
97	0.4334644249
98	0.4334130402
99	0.4333563005
100	0.4332989905
101	0.4332534313
102	0.4331998746
103	0.4331493266
104	0.433095107
105	0.4330384739
106	0.4329758029
107	0.4329217956
108	0.4328883356
109	0.4328511616
110	0.4327993689
111	0.4327538016
112	0.4327113351
113	0.4326679055
114	0.432630644
115	0.4325796855
116	0.4325331352
117	0.4324942088
118	0.4324464638
119	0.4324148899
120	0.4323669999
121	0.4323156606
122	0.4322818282
123	0.4322432067
124	0.4322089916
125	0.4321739411
126	0.4321381227
127	0.4320973096
128	0.432058841
129	0.4320190521
130	0.431968779
131	0.4319362843
132	0.4319071662
133	0.4318785753
134	0.4318368588
135	0.4318066617
136	0.4317767095
137	0.4317446102
138	0.4317080686
139	0.4316772237
140	0.4316514088
141	0.4316195411
142	0.4315864081
143	0.4315647525
144	0.4315280722
145	0.4314985538
146	0.4314623346
147	0.4314322838
148	0.4314026714
149	0.4313717652
150	0.4313310864
151	0.4313030833
152	0.4312723019
153	0.4312368202
154	0.4312052244
155	0.4311686708
156	0.4311384099
157	0.4311051345
158	0.4310821193
159	0.4310584942
160	0.4310346719
161	0.4310015841
162	0.4309776178
163	0.4309508246
164	0.430928672
165	0.4308997805
166	0.4308757342
167	0.4308607119
168	0.4308289319
169	0.4308007589
170	0.4307798882
171	0.4307569495
172	0.4307226889
173	0.4307018661
174	0.4306761111
175	0.4306393255
176	0.4306157564
177	0.4305931758
178	0.430555875
179	0.430532159
180	0.4305065189
181	0.430488731
182	0.4304637254
183	0.4304326382
184	0.4304102125
185	0.4303793461
186	0.4303574685
187	0.4303358282
188	0.4303129302
189	0.4302838578
190	0.4302559767
191	0.4302361085
192	0.4302186572
193	0.4301952423
194	0.4301742022
195	0.4301509926
196	0.4301272278
197	0.430109096
198	0.4300868458
199	0.4300629476
200	0.4300385794
201	0.4300148715
202	0.4299952974
203	0.4299761025
204	0.4299575956
205	0.4299399811
206	0.4299206123
207	0.4298963563
208	0.4298776101
209	0.4298612081
210	0.4298448888
211	0.4298272092
212	0.4298055746
213	0.4297831408
214	0.4297656945
215	0.4297498203
216	0.4297294024
217	0.4297060716
218	0.4296911623
219	0.4296693361
220	0.4296508638
221	0.4296275987
222	0.4296095072
223	0.4295829584
224	0.4295669125
225	0.4295519839
226	0.4295182324
227	0.4295037382
228	0.4294806045
229	0.4294630625
230	0.4294466005
231	0.429424885
232	0.4294092054
233	0.4293909267
234	0.4293734979
235	0.4293553795
236	0.4293430437
237	0.4293316842
238	0.4293150329
239	0.4292982799
240	0.4292718483
241	0.4292591574
242	0.4292340196
243	0.4292090841
244	0.4291764966
245	0.4291474263
246	0.4291279519
247	0.4291142627
248	0.429097949
249	0.4290798588
250	0.4290569577
251	0.4290343986
252	0.4290132022
253	0.4289956389
254	0.4289694359
255	0.4289559949
