iter	Passed	Remaining
0	75	22426
1	118	17594
2	160	15893
3	200	14865
4	242	14296
5	284	13930
6	325	13631
7	363	13251
8	402	13022
9	442	12840
10	483	12695
11	523	12570
12	563	12443
13	604	12341
14	644	12253
15	685	12163
16	724	12060
17	765	11986
18	804	11893
19	844	11829
20	885	11758
21	925	11690
22	966	11638
23	1007	11584
24	1048	11535
25	1087	11464
26	1127	11397
27	1167	11339
28	1206	11271
29	1245	11212
30	1284	11143
31	1323	11085
32	1362	11026
33	1404	10988
34	1445	10944
35	1486	10901
36	1526	10852
37	1569	10818
38	1609	10769
39	1649	10719
40	1688	10665
41	1728	10618
42	1767	10564
43	1808	10522
44	1848	10475
45	1887	10423
46	1927	10378
47	1968	10336
48	2008	10290
49	2048	10242
50	2087	10193
51	2127	10146
52	2168	10105
53	2209	10067
54	2249	10021
55	2289	9974
56	2328	9926
57	2368	9884
58	2409	9840
59	2448	9795
60	2490	9759
61	2529	9709
62	2568	9663
63	2608	9617
64	2649	9579
65	2689	9533
66	2730	9495
67	2767	9441
68	2807	9398
69	2846	9351
70	2886	9310
71	2927	9270
72	2966	9224
73	3006	9182
74	3046	9140
75	3085	9095
76	3124	9048
77	3163	9003
78	3203	8962
79	3244	8923
80	3282	8873
81	3320	8826
82	3359	8782
83	3396	8733
84	3434	8688
85	3473	8642
86	3511	8596
87	3554	8562
88	3594	8522
89	3633	8477
90	3675	8441
91	3717	8404
92	3758	8365
93	3796	8320
94	3836	8279
95	3875	8236
96	3916	8196
97	3955	8153
98	3995	8112
99	4035	8070
100	4075	8029
101	4113	7985
102	4153	7943
103	4192	7902
104	4231	7858
105	4270	7816
106	4309	7773
107	4350	7733
108	4389	7692
109	4429	7651
110	4471	7613
111	4511	7572
112	4550	7531
113	4589	7488
114	4630	7448
115	4669	7406
116	4708	7364
117	4748	7324
118	4789	7285
119	4828	7243
120	4869	7203
121	4907	7160
122	4947	7119
123	4988	7080
124	5028	7040
125	5068	6999
126	5107	6956
127	5144	6913
128	5185	6874
129	5225	6833
130	5267	6795
131	5306	6753
132	5345	6711
133	5383	6669
134	5422	6627
135	5461	6585
136	5500	6544
137	5541	6504
138	5580	6463
139	5618	6421
140	5659	6382
141	5696	6338
142	5739	6301
143	5781	6263
144	5824	6226
145	5865	6187
146	5910	6151
147	5954	6114
148	5998	6079
149	6042	6042
150	6084	6003
151	6127	5966
152	6172	5930
153	6212	5889
154	6257	5853
155	6297	5813
156	6342	5776
157	6387	5740
158	6431	5703
159	6468	5660
160	6512	5622
161	6554	5583
162	6599	5546
163	6642	5508
164	6685	5470
165	6725	5429
166	6767	5389
167	6807	5348
168	6851	5311
169	6893	5271
170	6936	5233
171	6980	5194
172	7023	5155
173	7067	5118
174	7115	5082
175	7159	5044
176	7204	5006
177	7246	4966
178	7288	4927
179	7331	4887
180	7371	4846
181	7416	4808
182	7460	4769
183	7501	4729
184	7544	4689
185	7586	4649
186	7630	4610
187	7672	4570
188	7709	4527
189	7752	4488
190	7796	4449
191	7837	4408
192	7880	4369
193	7923	4329
194	7966	4289
195	8009	4250
196	8052	4210
197	8099	4172
198	8142	4132
199	8184	4092
200	8226	4051
201	8268	4011
202	8310	3970
203	8352	3930
204	8396	3890
205	8440	3851
206	8484	3812
207	8529	3772
208	8571	3732
209	8612	3691
210	8650	3648
211	8690	3607
212	8733	3567
213	8777	3527
214	8821	3487
215	8862	3446
216	8904	3405
217	8944	3364
218	8981	3322
219	9023	3281
220	9066	3240
221	9112	3201
222	9155	3161
223	9201	3121
224	9243	3081
225	9280	3038
226	9323	2998
227	9365	2957
228	9409	2917
229	9453	2877
230	9496	2836
231	9540	2796
232	9585	2756
233	9628	2715
234	9672	2675
235	9716	2634
236	9758	2594
237	9802	2553
238	9843	2512
239	9886	2471
240	9927	2430
241	9972	2390
242	10016	2349
243	10071	2311
244	10112	2270
245	10155	2229
246	10195	2187
247	10241	2147
248	10284	2106
249	10331	2066
250	10376	2025
251	10422	1985
252	10464	1944
253	10507	1902
254	10550	1861
255	10589	1820
256	10629	1778
257	10674	1737
258	10718	1696
259	10764	1656
260	10805	1614
261	10848	1573
262	10890	1532
263	10929	1490
264	10973	1449
265	11019	1408
266	11062	1367
267	11100	1325
268	11141	1284
269	11184	1242
270	11231	1201
271	11271	1160
272	11315	1119
273	11353	1077
274	11393	1035
275	11437	994
276	11480	953
277	11521	911
278	11562	870
279	11605	828
280	11648	787
281	11690	746
282	11733	704
283	11776	663
284	11817	621
285	11859	580
286	11896	538
287	11940	497
288	11982	456
289	12027	414
290	12068	373
291	12113	331
292	12156	290
293	12195	248
294	12235	207
295	12275	165
296	12316	124
297	12356	82
298	12397	41
299	12437	0
